Date,Open,High,Low,Close,Adj Close,Volume
2023-01-24,149.080002,150.059998,147.979996,148.720001,148.097137,306602
2023-01-25,148.100006,148.679993,144.940002,145.500000,144.890625,499916
2023-01-26,146.399994,148.080002,144.839996,145.279999,144.671555,500694
2023-01-27,145.279999,145.279999,145.279999,145.279999,144.671555,0
2023-01-30,146.800003,148.119995,145.259995,147.320007,146.703018,619650
2023-01-31,146.399994,147.580002,145.080002,147.380005,146.762756,477837
2023-02-01,146.839996,148.160004,146.240005,147.580002,146.961914,397945
2023-02-02,149.339996,158.679993,149.339996,157.919998,157.258606,997227
2023-02-03,156.699997,161.380005,153.660004,161.059998,160.385452,632795
2023-02-06,158.199997,159.179993,154.059998,155.360001,154.709335,484332
2023-02-07,154.720001,154.720001,152.119995,153.080002,152.438889,374460
2023-02-08,154.800003,157.119995,153.259995,154.000000,153.355026,506921
2023-02-09,154.759995,157.539993,154.720001,156.259995,155.605560,426865
2023-02-10,140.000000,144.679993,136.580002,139.259995,138.676758,3554497
2023-02-13,137.800003,142.399994,137.520004,139.979996,139.393738,701558
2023-02-14,140.679993,141.800003,138.119995,138.820007,138.238617,603333
2023-02-15,138.619995,142.300003,137.880005,140.759995,140.170471,454815
2023-02-16,143.220001,146.960007,143.020004,144.919998,144.313049,747280
2023-02-17,141.699997,143.899994,141.199997,143.520004,142.918930,559312
2023-02-20,144.179993,144.240005,140.000000,140.779999,140.190399,335599
2023-02-21,140.199997,140.320007,136.940002,137.419998,136.844467,658813
